Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,1/10/91,0.974
S&P 500 Total Return Index,1/11/91,0.2255
S&P 500 Total Return Index,1/14/91,-0.8457
S&P 500 Total Return Index,1/15/91,0.3992
S&P 500 Total Return Index,1/16/91,0.7837
S&P 500 Total Return Index,1/17/91,3.7321
S&P 500 Total Return Index,1/18/91,1.3078
S&P 500 Total Return Index,1/21/91,-0.3511
S&P 500 Total Return Index,1/22/91,-0.8293
S&P 500 Total Return Index,1/23/91,0.5821
S&P 500 Total Return Index,1/24/91,1.402
S&P 500 Total Return Index,1/25/91,0.3885
S&P 500 Total Return Index,1/28/91,0.008
S&P 500 Total Return Index,1/29/91,-0.0294
S&P 500 Total Return Index,1/30/91,1.519
S&P 500 Total Return Index,1/31/91,0.8862
S&P 500 Total Return Index,2/1/91,-0.2502
S&P 500 Total Return Index,2/4/91,1.6149
S&P 500 Total Return Index,2/5/91,0.8924
S&P 500 Total Return Index,2/6/91,1.9422
S&P 500 Total Return Index,2/7/91,-0.4026
S&P 500 Total Return Index,2/8/91,0.8084
S&P 500 Total Return Index,2/11/91,2.6148
S&P 500 Total Return Index,2/12/91,-0.8203
S&P 500 Total Return Index,2/13/91,0.9837
S&P 500 Total Return Index,2/14/91,-1.2963
S&P 500 Total Return Index,2/15/91,1.3477
S&P 500 Total Return Index,2/19/91,0.0969
S&P 500 Total Return Index,2/20/91,-1.147
S&P 500 Total Return Index,2/21/91,-0.0465
S&P 500 Total Return Index,2/22/91,0.2131
S&P 500 Total Return Index,2/25/91,0.4741
S&P 500 Total Return Index,2/26/91,-1.1943
S&P 500 Total Return Index,2/27/91,1.3638
S&P 500 Total Return Index,2/28/91,-0.1627
S&P 500 Total Return Index,3/1/91,0.9341
S&P 500 Total Return Index,3/4/91,-0.2748
S&P 500 Total Return Index,3/5/91,2.0107
S&P 500 Total Return Index,3/6/91,-0.1421
S&P 500 Total Return Index,3/7/91,-0.0593
S&P 500 Total Return Index,3/8/91,-0.2398
S&P 500 Total Return Index,3/11/91,-0.5021
S&P 500 Total Return Index,3/12/91,-0.7797
S&P 500 Total Return Index,3/13/91,1.2317
S&P 500 Total Return Index,3/14/91,-0.2833
S&P 500 Total Return Index,3/15/91,0.0239
S&P 500 Total Return Index,3/18/91,-0.3939
S&P 500 Total Return Index,3/19/91,-1.4764
S&P 500 Total Return Index,3/20/91,0.3625
S&P 500 Total Return Index,3/21/91,-0.3612
S&P 500 Total Return Index,3/22/91,0.2919
S&P 500 Total Return Index,3/25/91,0.6525
S&P 500 Total Return Index,3/26/91,1.7495
S&P 500 Total Return Index,3/27/91,-0.251
S&P 500 Total Return Index,3/28/91,-0.0332
S&P 500 Total Return Index,4/1/91,-1.0189
S&P 500 Total Return Index,4/2/91,2.2148
S&P 500 Total Return Index,4/3/91,-0.1385
S&P 500 Total Return Index,4/4/91,0.2633
S&P 500 Total Return Index,4/5/91,-1.1606
S&P 500 Total Return Index,4/8/91,0.8825
S&P 500 Total Return Index,4/9/91,-1.3403
S&P 500 Total Return Index,4/10/91,-0.1096
S&P 500 Total Return Index,4/11/91,1.2025
S&P 500 Total Return Index,4/12/91,0.7332
S&P 500 Total Return Index,4/15/91,0.227
S&P 500 Total Return Index,4/16/91,1.6883
S&P 500 Total Return Index,4/17/91,0.7326
S&P 500 Total Return Index,4/18/91,-0.5084
S&P 500 Total Return Index,4/19/91,-1.093
S&P 500 Total Return Index,4/22/91,-0.8386
S&P 500 Total Return Index,4/23/91,0.2126
S&P 500 Total Return Index,4/24/91,0.2681
S&P 500 Total Return Index,4/25/91,-0.9114
S&P 500 Total Return Index,4/26/91,-0.0516
S&P 500 Total Return Index,4/29/91,-1.3945
S&P 500 Total Return Index,4/30/91,0.4809
S&P 500 Total Return Index,5/1/91,1.3174
S&P 500 Total Return Index,5/2/91,0.0631
S&P 500 Total Return Index,5/3/91,0.0865
S&P 500 Total Return Index,5/6/91,-0.1238
S&P 500 Total Return Index,5/7/91,-0.6757
S&P 500 Total Return Index,5/8/91,0.3154
S&P 500 Total Return Index,5/9/91,1.2977
S&P 500 Total Return Index,5/10/91,-1.9413
S&P 500 Total Return Index,5/13/91,0.3
S&P 500 Total Return Index,5/14/91,-1.3543
S&P 500 Total Return Index,5/15/91,-0.8094
S&P 500 Total Return Index,5/16/91,1.0014
S&P 500 Total Return Index,5/17/91,0.1049
S&P 500 Total Return Index,5/20/91,-0.0071
S&P 500 Total Return Index,5/21/91,0.8357
S&P 500 Total Return Index,5/22/91,0.2267
S&P 500 Total Return Index,5/23/91,-0.3228
S&P 500 Total Return Index,5/24/91,0.6996
S&P 500 Total Return Index,5/28/91,1.2111
S&P 500 Total Return Index,5/29/91,0.2249
S&P 500 Total Return Index,5/30/91,1.0944
S&P 500 Total Return Index,5/31/91,0.7599
S&P 500 Total Return Index,6/3/91,-0.4225
S&P 500 Total Return Index,6/4/91,-0.0707
S&P 500 Total Return Index,6/5/91,-0.6825
S&P 500 Total Return Index,6/6/91,-0.3723
S&P 500 Total Return Index,6/7/91,-1.0935
S&P 500 Total Return Index,6/10/91,-0.1936
S&P 500 Total Return Index,6/11/91,0.6754
S&P 500 Total Return Index,6/12/91,-1.156
S&P 500 Total Return Index,6/13/91,0.2701
S&P 500 Total Return Index,6/14/91,1.232
S&P 500 Total Return Index,6/17/91,-0.5599
S&P 500 Total Return Index,6/18/91,-0.3979
S&P 500 Total Return Index,6/19/91,-0.9227
S&P 500 Total Return Index,6/20/91,0.0896
S&P 500 Total Return Index,6/21/91,0.6195
S&P 500 Total Return Index,6/24/91,-1.7512
S&P 500 Total Return Index,6/25/91,-0.0715
S&P 500 Total Return Index,6/26/91,0.2575
S&P 500 Total Return Index,6/27/91,0.7564
S&P 500 Total Return Index,6/28/91,-0.838
S&P 500 Total Return Index,7/1/91,1.8235
S&P 500 Total Return Index,7/2/91,-0.1192
S&P 500 Total Return Index,7/3/91,-1.0557
