Name,ReferenceDate,DailyReturn,Add1InPercentSpace,Total Return
S&P 500 Total Return Index,4/19/91,-1.093,0.98907,13.7691%
S&P 500 Total Return Index,4/22/91,-0.8386,0.991614,12.8150%
S&P 500 Total Return Index,4/23/91,0.2126,1.002126,13.0549%
S&P 500 Total Return Index,4/24/91,0.2681,1.002681,13.3580%
S&P 500 Total Return Index,4/25/91,-0.9114,0.990886,12.3248%
S&P 500 Total Return Index,4/26/91,-0.0516,0.999484,12.2669%
S&P 500 Total Return Index,4/29/91,-1.3945,0.986055,10.7013%
S&P 500 Total Return Index,4/30/91,0.4809,1.004809,11.2337%
S&P 500 Total Return Index,5/1/91,1.3174,1.013174,12.6991%
S&P 500 Total Return Index,5/2/91,0.0631,1.000631,12.7702%
S&P 500 Total Return Index,5/3/91,0.0865,1.000865,12.8677%
S&P 500 Total Return Index,5/6/91,-0.1238,0.998762,12.7280%
S&P 500 Total Return Index,5/7/91,-0.6757,0.993243,11.9663%
S&P 500 Total Return Index,5/8/91,0.3154,1.003154,12.3194%
S&P 500 Total Return Index,5/9/91,1.2977,1.012977,13.7770%
S&P 500 Total Return Index,5/10/91,-1.9413,0.980587,11.5683%
S&P 500 Total Return Index,5/13/91,0.3,1.003,11.9030%
S&P 500 Total Return Index,5/14/91,-1.3543,0.986457,10.3875%
S&P 500 Total Return Index,5/15/91,-0.8094,0.991906,9.4940%
S&P 500 Total Return Index,5/16/91,1.0014,1.010014,10.5905%
S&P 500 Total Return Index,5/17/91,0.1049,1.001049,10.7065%
S&P 500 Total Return Index,5/20/91,-0.0071,0.999929,10.6986%
S&P 500 Total Return Index,5/21/91,0.8357,1.008357,11.6237%
S&P 500 Total Return Index,5/22/91,0.2267,1.002267,11.8768%
S&P 500 Total Return Index,5/23/91,-0.3228,0.996772,11.5156%
S&P 500 Total Return Index,5/24/91,0.6996,1.006996,12.2958%
S&P 500 Total Return Index,5/28/91,1.2111,1.012111,13.6558%
S&P 500 Total Return Index,5/29/91,0.2249,1.002249,13.9114%
S&P 500 Total Return Index,5/30/91,1.0944,1.010944,15.1581%
S&P 500 Total Return Index,5/31/91,0.7599,1.007599,16.0331%
S&P 500 Total Return Index,6/3/91,-0.4225,0.995775,15.5429%
S&P 500 Total Return Index,6/4/91,-0.0707,0.999293,15.4612%
S&P 500 Total Return Index,6/5/91,-0.6825,0.993175,14.6732%
S&P 500 Total Return Index,6/6/91,-0.3723,0.996277,14.2463%
S&P 500 Total Return Index,6/7/91,-1.0935,0.989065,12.9970%
S&P 500 Total Return Index,6/10/91,-0.1936,0.998064,12.7782%
S&P 500 Total Return Index,6/11/91,0.6754,1.006754,13.5399%
S&P 500 Total Return Index,6/12/91,-1.156,0.98844,12.2274%
S&P 500 Total Return Index,6/13/91,0.2701,1.002701,12.5305%
S&P 500 Total Return Index,6/14/91,1.232,1.01232,13.9169%
S&P 500 Total Return Index,6/17/91,-0.5599,0.994401,13.2791%
S&P 500 Total Return Index,6/18/91,-0.3979,0.996021,12.8283%
S&P 500 Total Return Index,6/19/91,-0.9227,0.990773,11.7873%
S&P 500 Total Return Index,6/20/91,0.0896,1.000896,11.8874%
S&P 500 Total Return Index,6/21/91,0.6195,1.006195,12.5806%
S&P 500 Total Return Index,6/24/91,-1.7512,0.982488,10.6091%
S&P 500 Total Return Index,6/25/91,-0.0715,0.999285,10.5300%
S&P 500 Total Return Index,6/26/91,0.2575,1.002575,10.8146%
S&P 500 Total Return Index,6/27/91,0.7564,1.007564,11.6528%
S&P 500 Total Return Index,6/28/91,-0.838,0.99162,10.7172%
S&P 500 Total Return Index,7/1/91,1.8235,1.018235,12.7361%
S&P 500 Total Return Index,7/2/91,-0.1192,0.998808,12.6017%
S&P 500 Total Return Index,7/3/91,-1.0557,0.989443,11.4130%
S&P 500 Total Return Index,7/5/91,0.2176,1.002176,11.6554%
S&P 500 Total Return Index,7/8/91,1.0339,1.010339,12.8098%
S&P 500 Total Return Index,7/9/91,-0.4743,0.995257,12.2747%
S&P 500 Total Return Index,7/10/91,-0.0986,0.999014,12.1640%
